,VIN,Num_Days,Market_Value_Mean,Market_Value_Std,Count,Count_Over_Days
364,JTLKT324050179699,503,5001.16,1216,115,0.2286282306163022
365,WP1AF2A55GLB93231,117,49683.62,7055,218,1.8632478632478633
366,1FTJW36F0VEB32041,138,13437.83,4205,117,0.8478260869565217
367,WAUGU44DX2N001019,210,18992.5,7067,2,0.009523809523809525
368,5TFUY5F19DX295832,283,24946.35,4757,2615,9.240282685512367
369,WBSCM9342YLC61902,90,45812.77,14064,19,0.2111111111111111
370,WP1AB29P38LA36543,90,12745.34,2500,159,1.7666666666666666
371,WDBGA32G0VA334441,662,5377.71,1171,5,0.0075528700906344415
372,1FA6P8JZ1G5524651,455,56940.01,7008,605,1.3296703296703296
373,JTEHT05J672111075,504,24326.39,5494,38,0.07539682539682539
374,WBAAF9310MEE73305,685,18220.21,2412,4,0.00583941605839416
375,WP1AD2AP1ALA62117,642,21366.29,4043,54,0.08411214953271028
376,WDAFE7CD7HP500830,90,80212.64,25083,5,0.05555555555555555
377,WBSDE93492BZ99871,90,47409.04,15318,27,0.3
378,WDCYC5FH5JX290078,242,259630.36,27903,32,0.1322314049586777
379,WBANN73586CN03447,300,7379.7,1654,56,0.18666666666666668
380,JM1BL1K45B1487442,221,12618.92,2578,107,0.4841628959276018
381,5GRGN23U45H102208,273,20826.4,4575,555,2.032967032967033
382,WAUGE08B5LA003073,202,13500.0,9192,2,0.009900990099009901
383,JTJHT00W764013325,427,22362.72,5155,141,0.33021077283372363
384,SCBZB03D0PCX42104,185,45646.64,16714,5,0.02702702702702703
385,2HGFG4A58DH706451,90,16226.57,2755,1073,11.922222222222222
386,1G1YY26EX75115737,249,44123.42,6579,282,1.1325301204819278
387,WP0AC2A8XLK289151,355,141948.18,11680,187,0.5267605633802817
388,5UXFA535X3LH80816,549,5402.97,1379,110,0.20036429872495445
389,WBAVS13568FX16601,159,11308.46,2839,15,0.09433962264150944
390,WMWZC5C59CWM14329,546,12818.58,2521,927,1.6978021978021978
391,WDDUG7GB4FA135472,195,67672.04,11042,38,0.19487179487179487
392,SALTY16453A824394,298,10465.2,3269,59,0.19798657718120805
393,WBSWL93528P330697,110,29225.34,5695,356,3.2363636363636363
394,8BTPE7CD8GE121999,192,44468.87,8672,282,1.46875
395,WBAAA1319LEC66829,139,15114.68,5557,6,0.04316546762589928
396,JT2ST07N5R0013611,216,4913.03,1009,3,0.013888888888888888
397,57XAASFA9F5103398,294,18919.83,1628,13,0.04421768707482993
398,WDBFA76F9WF159938,112,16950.33,4655,8,0.07142857142857142
399,1G2FS33E7NL206097,285,12615.08,2787,4,0.014035087719298246
400,WDDLJ7EB3CA035570,482,37837.69,5867,149,0.3091286307053942
401,WDBUH77X87B106649,727,43989.32,13016,4,0.005502063273727648
402,WAUKA84A1SN121789,90,14900.0,0,2,0.022222222222222223
403,JHMBB6246YC007727,308,8031.57,2365,14,0.045454545454545456
404,JTKDE167560086615,480,5402.92,1302,364,0.7583333333333333
405,1G6KW5RJ6LU106338,552,90263.32,7386,56,0.10144927536231885
406,3D3HA18H35G771661,90,30440.06,6819,175,1.9444444444444444
407,1FA6P8CF7H5244463,284,34884.31,4194,4834,17.02112676056338
408,JT3HT05J6X0070905,460,13002.52,3249,62,0.13478260869565217
409,5UXFA53502LH80614,588,4983.63,1237,80,0.1360544217687075
410,JTEBU5JR8F5265103,90,31906.38,4485,4433,49.25555555555555
411,WDDPK7FAXFF098435,635,46734.79,8079,9,0.014173228346456693
412,ZAMBC38A020007575,110,24851.07,3858,20,0.18181818181818182
413,5TFCZ5AN9HX061876,339,35094.37,4144,10880,32.094395280235986
414,JH4DC53032C026142,168,8434.77,1935,16,0.09523809523809523
